step,count,min,max,avg
34,1,14241,14241,14241.0
38,1,1028148,1028148,1028148.0
39,3,72292,1451846,563045.6666666666
40,4,139846,3062869,1266934.5
41,4,4405,480577,285758.5
42,3,777474,2704117,1639321.0
43,5,283395,1843018,877682.6
44,10,104930,112933347,14123956.6
45,4,1658959,14656734,5648715.0
46,18,202088,13457066,3922274.3333333335
47,19,529311,50160201,10847795.105263159
48,25,422328,76519216,16850048.44
49,35,191893,176253861,31728015.4
50,32,1361855,160536230,29048547.0625
51,34,911832,546174163,46607892.61764706
52,48,1623454,1151747429,80125113.22916667
53,35,884959,1236580503,107671813.08571428
54,30,355413,722183437,108998257.6
55,32,2242484,1482106404,252002573.8125
56,33,5109682,1711245174,219315587.96969697
57,32,10428842,1411878753,402449110.28125
58,24,14484375,1619784708,474977787.9166667
59,18,30382892,1868755593,676471847.8333334
60,21,39235844,1962924778,579328099.0476191
61,11,39005062,1737852754,668455759.8181819
62,4,159255615,1412118067,785801315.75
63,6,31536605,1482515193,554381167.8333334
65,1,1233311923,1233311923,1233311923.0
