number,step,time,node
0,51,411,1100781
5,52,26409,70910158
10,41,91,231876
11,55,12403,33312773
13,55,32893,77535499
15,52,3594,9388679
16,45,639,1658959
17,49,1424,3638320
20,54,10124,25501438
24,58,184319,493199296
28,55,63596,168821490
30,57,64259,173223813
31,56,32578,84910596
34,56,181925,482408355
35,52,37580,97220415
41,49,349,892041
42,53,15997,42287722
46,62,3714676,1412118067
47,51,458,1160422
48,45,751,1835840
49,56,2516,6503945
55,57,48024,129323741
57,56,38614,104254035
58,54,8783,23401345
59,52,7835,21072765
61,40,68,139846
66,47,18656,50160201
68,53,2240,5725691
70,56,102206,277210608
71,60,125285,337250433
75,46,1757,4570004
76,39,65,164999
77,58,308850,828431258
79,42,1056,2704117
80,49,37900,102167333
81,52,5055,13408126
82,54,17371,46272558
84,49,6462,16946453
86,55,345692,934220393
91,54,270949,722183437
92,53,364,884959
94,46,1751,4177113
95,49,30036,77455918
97,62,391933,1042912787
98,44,90,235533
99,52,7756,20644785
107,43,298,725822
111,59,298413,806834669
112,47,4896,12656619
113,47,204,529311
114,50,18165,48957109
116,51,4373,11400362
117,50,6683,17962066
118,58,42115,112714609
120,66,2888649,-889985804
122,52,76230,206983371
123,54,11478,30860483
125,49,22250,59725867
126,47,1799,4644999
128,59,808827,-2126793106
131,58,275294,738212261
132,58,494466,1320691822
133,60,112160,301880670
134,47,2753,7226234
135,52,19130,51502364
138,54,41209,111345605
140,59,691855,1868755593
141,51,2753,7119712
142,47,1207,3167853
144,56,100115,271077081
148,58,41968,112320710
149,58,203888,549480913
150,53,19118,51316229
151,53,45915,123280637
152,51,2694,6996168
153,49,7389,19551798
154,49,1284,3363695
156,52,47288,127555562
159,44,627,1678271
160,48,327,795958
161,51,4517,12124844
162,51,5966,15582619
166,48,11633,30982058
168,57,8120,21300979
169,56,198351,533886401
171,61,14616,39005062
172,49,41139,110878318
173,48,2955,7684022
174,48,2807,7487751
176,48,3201,8437267
177,50,524,1361855
178,51,20300,54817616
180,56,118130,317500415
181,60,275351,738706926
183,54,1219,3106799
185,56,16536,44102715
186,48,3451,9067336
187,55,42979,114449302
191,53,1211,3064417
192,48,1162,3057298
197,52,3993,10291110
198,55,24393,64945544
199,39,595,1451846
201,62,8993990,-1461731617
203,47,4794,12590498
204,60,237751,640193771
205,52,43205,115929281
206,54,30164,80447815
207,56,90405,244024725
208,50,1094,2757338
213,54,12451,33205240
214,55,27958,74840817
215,40,1175,3062869
216,51,353,911832
218,53,99004,265270324
220,59,78034,208191841
221,57,3972,10428842
